batch_i,episode_len,loss,value_loss,policy_loss,kl_divergence,lr_multiplier,win_ratio,win_count,loss_count,tie_count
1,30,,,,,,,,,
2,33,,,,,,,,,
3,47,5.319318771362305,0.9260262250900269,4.393292427062988,0.00057010393,1.5,,,,
4,18,5.381094932556152,0.9919428825378418,4.3891520500183105,0.011971182,1.5,,,,
5,30,5.391365051269531,1.0009351968765259,4.390429973602295,0.008280258,2.25,,,,
6,28,5.381490707397461,0.9934309720993042,4.388059616088867,0.002819879,3.375,,,,
7,32,5.34538459777832,0.9582990407943726,4.387085437774658,0.0027387517,5.0625,,,,
8,29,5.227321147918701,0.8408623337745667,4.386458873748779,0.0034694783,7.59375,,,,
9,42,5.103677749633789,0.7423688769340515,4.361309051513672,0.106269866,5.0625,,,,
10,25,5.219027996063232,0.8511995673179626,4.367828369140625,0.09984814,3.375,,,,
11,32,5.144498825073242,0.7734566926956177,4.371042251586914,0.0040719686,5.0625,,,,
12,41,4.967541694641113,0.6057873964309692,4.361754417419434,0.018895607,5.0625,,,,
13,20,4.713527679443359,0.41166970133781433,4.301857948303223,0.094437,3.375,,,,
14,34,4.664823055267334,0.3181461691856384,4.346676826477051,0.07252313,2.25,,,,
15,13,4.628188610076904,0.32003095746040344,4.308157444000244,0.023721265,2.25,,,,
16,22,4.636807918548584,0.33596956729888916,4.300838470458984,0.030851113,2.25,,,,
17,43,4.8505377769470215,0.610057532787323,4.240480422973633,0.02959963,2.25,,,,
18,40,4.864130973815918,0.614495038986206,4.249636173248291,0.0366748,2.25,,,,
19,37,4.977811336517334,0.7512412667274475,4.226570129394531,0.041041896,1.5,,,,
20,35,5.043548107147217,0.7899293303489685,4.2536187171936035,0.019876232,1.5,,,,
21,53,4.848209381103516,0.6390801668167114,4.209129333496094,0.03696973,1.5,,,,
22,35,4.773622989654541,0.562595546245575,4.2110276222229,0.032189842,1.5,,,,
23,41,4.720369815826416,0.5271239280700684,4.193245887756348,0.03729185,1.5,,,,
24,34,4.876938343048096,0.6394736170768738,4.237464904785156,0.026225459,1.5,,,,
25,51,4.686782360076904,0.5262914896011353,4.160490989685059,0.03939779,1.5,,,,
26,21,4.628069877624512,0.4497533440589905,4.178316593170166,0.047454037,1.0,,,,
27,37,4.717610836029053,0.564306378364563,4.153304576873779,0.030481,1.0,,,,
28,24,4.637820243835449,0.5198846459388733,4.117935657501221,0.029777199,1.0,,,,
29,23,4.638364791870117,0.5241337418556213,4.114231109619141,0.029612284,1.0,,,,
30,25,4.6575026512146,0.550826907157898,4.106675624847412,0.03206783,1.0,,,,
31,17,4.583096981048584,0.4717298150062561,4.111367225646973,0.03370983,1.0,,,,
32,18,4.661128520965576,0.5370729565620422,4.1240553855896,0.029603785,1.0,,,,
33,38,4.689209938049316,0.5914251804351807,4.097784996032715,0.023215793,1.0,,,,
34,22,4.631550312042236,0.5356153249740601,4.095934867858887,0.02783487,1.0,,,,
35,26,4.537954807281494,0.5012297630310059,4.036725044250488,0.0392989,1.0,,,,
36,10,4.616960048675537,0.5447368025779724,4.07222318649292,0.042922013,0.6666666666666666,,,,
37,30,4.6864824295043945,0.5790061950683594,4.107476234436035,0.01916954,0.6666666666666666,,,,
38,18,4.653079509735107,0.6133063435554504,4.039772987365723,0.024046376,0.6666666666666666,,,,
39,28,4.630512714385986,0.5606676340103149,4.069845199584961,0.022324277,0.6666666666666666,,,,
40,17,4.6015801429748535,0.5927295684814453,4.008850574493408,0.03571536,0.6666666666666666,,,,
41,23,4.536070346832275,0.5323452949523926,4.003725051879883,0.018592495,0.6666666666666666,,,,
42,18,4.548157215118408,0.5299734473228455,4.018183708190918,0.029360633,0.6666666666666666,,,,
43,29,4.538448810577393,0.5468788146972656,3.991569995880127,0.020980876,0.6666666666666666,,,,
44,48,4.65504264831543,0.659663736820221,3.9953789710998535,0.03363834,0.6666666666666666,,,,
45,16,4.601027488708496,0.611950159072876,3.98907732963562,0.029650012,0.6666666666666666,,,,
46,36,4.579019546508789,0.6022070050239563,3.9768123626708984,0.02709281,0.6666666666666666,,,,
47,28,4.510586261749268,0.5698124766349792,3.9407739639282227,0.037696972,0.6666666666666666,,,,
48,25,4.533329010009766,0.5846458077430725,3.948683261871338,0.029638615,0.6666666666666666,,,,
49,44,4.5083746910095215,0.599288821220398,3.909085988998413,0.04687749,0.4444444444444444,,,,
50,21,4.518049240112305,0.6132550239562988,3.904794216156006,0.0192764,0.4444444444444444,,,,
51,25,4.484726428985596,0.5995044708251953,3.8852219581604004,0.02720188,0.4444444444444444,,,,
52,13,4.456594944000244,0.5974775552749634,3.859117269515991,0.018985257,0.4444444444444444,,,,
53,26,4.389041900634766,0.5573303699493408,3.8317112922668457,0.0245736,0.4444444444444444,,,,
54,19,4.503733158111572,0.64734947681427,3.8563835620880127,0.019777838,0.4444444444444444,,,,
55,29,4.403984546661377,0.5477358102798462,3.856248617172241,0.017344601,0.4444444444444444,,,,
56,29,4.345885276794434,0.5387206077575684,3.807164430618286,0.023105297,0.4444444444444444,,,,
57,40,4.365320205688477,0.5452165007591248,3.820103645324707,0.031062635,0.4444444444444444,,,,
58,37,4.297328472137451,0.5240143537521362,3.7733139991760254,0.026072225,0.4444444444444444,,,,
59,40,4.245893955230713,0.48249784111976624,3.7633962631225586,0.025135506,0.4444444444444444,,,,
60,36,4.3426008224487305,0.576513946056366,3.7660868167877197,0.033861443,0.4444444444444444,,,,
61,37,4.34199333190918,0.5485575199127197,3.793435573577881,0.04300994,0.2962962962962963,,,,
62,17,4.3102498054504395,0.5348225831985474,3.7754273414611816,0.012411138,0.2962962962962963,,,,
63,26,4.292119026184082,0.5258128643035889,3.766306161880493,0.017755404,0.2962962962962963,,,,
64,20,4.268194675445557,0.5089322328567505,3.7592623233795166,0.016451422,0.2962962962962963,,,,
65,35,4.328738212585449,0.561193585395813,3.7675445079803467,0.015124284,0.2962962962962963,,,,
66,17,4.277265548706055,0.5441831946372986,3.7330825328826904,0.015067102,0.2962962962962963,,,,
67,16,4.279726505279541,0.5021376013755798,3.7775890827178955,0.014620274,0.2962962962962963,,,,
68,15,4.276755332946777,0.5255584120750427,3.75119686126709,0.017570749,0.2962962962962963,,,,
69,30,4.276434421539307,0.5379037857055664,3.7385306358337402,0.015162579,0.2962962962962963,,,,
70,23,4.210593223571777,0.517293393611908,3.6932997703552246,0.020330554,0.2962962962962963,,,,
71,13,4.163457870483398,0.4670167565345764,3.696441173553467,0.018677484,0.2962962962962963,,,,
72,9,4.202413082122803,0.4709526300430298,3.7314603328704834,0.012598225,0.2962962962962963,,,,
73,11,4.158483028411865,0.4719691872596741,3.686513662338257,0.015001643,0.2962962962962963,,,,
74,15,4.128217697143555,0.45921382308006287,3.669003963470459,0.01582321,0.2962962962962963,,,,
75,17,4.171082973480225,0.4806176424026489,3.6904654502868652,0.016363055,0.2962962962962963,,,,
76,15,4.124608993530273,0.4870956838130951,3.6375131607055664,0.020184707,0.2962962962962963,,,,
77,19,4.136732578277588,0.457025408744812,3.6797070503234863,0.01402138,0.2962962962962963,,,,
78,15,4.082652568817139,0.43833330273628235,3.6443190574645996,0.016644921,0.2962962962962963,,,,
79,11,4.100703716278076,0.4975515305995941,3.60315203666687,0.015539725,0.2962962962962963,,,,
80,23,4.115804672241211,0.47981351613998413,3.635991096496582,0.017504213,0.2962962962962963,,,,
81,20,4.124707221984863,0.5038058161735535,3.620901584625244,0.016232887,0.2962962962962963,,,,
82,17,4.127573490142822,0.4837084114551544,3.643864870071411,0.019134302,0.2962962962962963,,,,
83,19,4.064011573791504,0.4451451301574707,3.618866205215454,0.015464406,0.2962962962962963,,,,
84,26,4.110490798950195,0.5155579447746277,3.594933032989502,0.022179868,0.2962962962962963,,,,
85,20,4.1782073974609375,0.5487756133079529,3.62943172454834,0.016788954,0.2962962962962963,,,,
86,29,4.1125102043151855,0.5040096044540405,3.6085007190704346,0.016191926,0.2962962962962963,,,,
87,19,4.119256496429443,0.5109291076660156,3.6083273887634277,0.016458519,0.2962962962962963,,,,
88,19,4.106826305389404,0.502806544303894,3.6040198802948,0.015533062,0.2962962962962963,,,,
89,15,4.040507793426514,0.46182024478912354,3.5786876678466797,0.017699435,0.2962962962962963,,,,
90,15,4.054040908813477,0.44488370418548584,3.609157085418701,0.017557085,0.2962962962962963,,,,
91,39,4.022231101989746,0.48480844497680664,3.5374228954315186,0.023825431,0.2962962962962963,,,,
92,19,4.192714214324951,0.5695191621780396,3.623195171356201,0.016206402,0.2962962962962963,,,,
93,25,4.011695384979248,0.491215318441391,3.520479917526245,0.01437886,0.2962962962962963,,,,
94,11,3.9994404315948486,0.46433165669441223,3.535108804702759,0.016191307,0.2962962962962963,,,,
95,9,3.8944687843322754,0.38408660888671875,3.5103821754455566,0.018204074,0.2962962962962963,,,,
96,15,3.9188461303710938,0.43748533725738525,3.481360912322998,0.014175387,0.2962962962962963,,,,
97,18,3.895232677459717,0.39253565669059753,3.502696990966797,0.016410429,0.2962962962962963,,,,
98,17,3.946845293045044,0.4585554301738739,3.4882898330688477,0.010310384,0.2962962962962963,,,,
99,17,3.8571934700012207,0.3987945318222046,3.4583990573883057,0.022205245,0.2962962962962963,,,,
100,15,3.9006552696228027,0.43128013610839844,3.4693751335144043,0.01979579,0.2962962962962963,,,,
101,13,3.859977960586548,0.40580350160598755,3.454174518585205,0.020693645,0.2962962962962963,,,,
102,17,3.7680206298828125,0.3901100158691406,3.377910614013672,0.016611878,0.2962962962962963,,,,
103,15,3.8194847106933594,0.3548815846443176,3.4646031856536865,0.013480715,0.2962962962962963,,,,
104,31,3.8233611583709717,0.376725435256958,3.4466357231140137,0.015755128,0.2962962962962963,,,,
105,19,3.719470500946045,0.3247394263744354,3.394731044769287,0.016799392,0.2962962962962963,,,,
106,15,3.6938059329986572,0.2991674840450287,3.3946385383605957,0.013586106,0.2962962962962963,,,,
107,15,3.7448740005493164,0.3347017765045166,3.4101722240448,0.011125301,0.2962962962962963,,,,
108,21,3.7163026332855225,0.3185441493988037,3.3977584838867188,0.01574288,0.2962962962962963,,,,
109,10,3.7182724475860596,0.3009640872478485,3.4173083305358887,0.013216361,0.2962962962962963,,,,
110,15,3.637948751449585,0.2780883312225342,3.359860420227051,0.01878313,0.2962962962962963,,,,
111,11,3.6603376865386963,0.3082377314567566,3.352099895477295,0.018243525,0.2962962962962963,,,,
112,17,3.650426149368286,0.31534987688064575,3.335076332092285,0.019170823,0.2962962962962963,,,,
113,27,3.674975633621216,0.3102719187736511,3.36470365524292,0.0129211545,0.2962962962962963,,,,
114,15,3.6416263580322266,0.3065873980522156,3.335038900375366,0.020613894,0.2962962962962963,,,,
115,13,3.599130868911743,0.35068389773368835,3.2484469413757324,0.014999358,0.2962962962962963,,,,
116,15,3.5198354721069336,0.25733596086502075,3.2624995708465576,0.024450077,0.2962962962962963,,,,
117,11,3.6014797687530518,0.28334784507751465,3.318131923675537,0.011602451,0.2962962962962963,,,,
118,19,3.5491302013397217,0.26637324690818787,3.282757043838501,0.01608514,0.2962962962962963,,,,
