batch_i,episode_len,loss,value_loss,policy_loss,kl_divergence,lr_multiplier,win_ratio,win_count,loss_count,tie_count
1,15,,,,,,,,,
2,20,,,,,,,,,
3,19,,,,,,,,,
4,36,3.074,0.6789,2.3951,0.3913,0.67,,,,
5,23,3.3536,0.6863,2.6673,0.3921,0.44,,,,
6,30,3.2089,0.7227,2.4862,0.1186,0.3,,,,
7,15,3.113,0.6872,2.4258,0.0349,0.3,,,,
8,15,3.1153,0.6556,2.4597,0.0423,0.2,,,,
9,22,3.1554,0.7027,2.4527,0.0249,0.2,,,,
10,14,3.179,0.7201,2.459,0.007,0.3,,,,
11,21,3.1474,0.7021,2.4453,0.0202,0.3,,,,
12,24,3.262,0.8119,2.4501,0.0321,0.3,,,,
13,21,3.207,0.779,2.428,0.0299,0.3,,,,
14,14,3.1657,0.763,2.4027,0.0255,0.3,,,,
15,30,3.1661,0.7409,2.4252,0.0283,0.3,,,,
16,15,3.1327,0.7092,2.4235,0.0255,0.3,,,,
17,36,3.004,0.6463,2.3577,0.0281,0.3,,,,
18,19,3.0035,0.6125,2.391,0.0289,0.3,,,,
19,36,2.8869,0.5622,2.3246,0.0217,0.3,,,,
20,11,2.856,0.503,2.353,0.0274,0.3,,,,
21,36,2.7687,0.4528,2.3159,0.0263,0.3,,,,
22,17,2.7972,0.4509,2.3463,0.0177,0.3,,,,
23,19,2.7548,0.4256,2.3293,0.0336,0.3,,,,
24,23,2.7471,0.4028,2.3442,0.0272,0.3,,,,
25,22,2.7855,0.4295,2.356,0.0347,0.3,,,,
26,24,2.8779,0.4934,2.3845,0.0312,0.3,,,,
27,32,2.9531,0.5426,2.4105,0.0276,0.3,,,,
28,18,2.9462,0.5291,2.4172,0.0252,0.3,,,,
29,26,2.8617,0.4806,2.3811,0.0284,0.3,,,,
30,36,2.8219,0.4757,2.3461,0.0377,0.3,,,,
31,24,2.8857,0.4988,2.3869,0.0352,0.3,,,,
32,36,2.8796,0.4851,2.3945,0.0281,0.3,,,,
33,14,2.8064,0.4097,2.3967,0.0271,0.3,,,,
34,18,2.8198,0.432,2.3877,0.037,0.3,,,,
35,30,2.8375,0.4132,2.4244,0.0393,0.3,,,,
36,36,2.8037,0.4222,2.3815,0.0178,0.3,,,,
37,12,2.711,0.3665,2.3445,0.0254,0.3,,,,
38,18,2.7983,0.4201,2.3782,0.0354,0.3,,,,
39,15,2.8368,0.4352,2.4016,0.0183,0.3,,,,
40,23,2.8064,0.4277,2.3787,0.0194,0.3,,,,
41,19,2.8178,0.44,2.3779,0.0249,0.3,,,,
42,19,2.8497,0.4369,2.4127,0.0316,0.3,,,,
43,16,2.8158,0.4423,2.3734,0.0318,0.3,,,,
44,21,2.9021,0.4973,2.4049,0.023,0.3,,,,
45,23,2.9439,0.5068,2.437,0.0297,0.3,,,,
46,20,2.9312,0.5098,2.4214,0.0368,0.3,,,,
47,15,2.9501,0.5027,2.4475,0.0305,0.3,,,,
48,17,2.8755,0.4492,2.4263,0.0331,0.3,,,,
49,20,2.8879,0.4513,2.4366,0.0334,0.3,,,,
50,20,2.9032,0.4806,2.4226,0.0215,0.3,,,,
51,23,2.9543,0.4826,2.4717,0.0281,0.3,,,,
52,20,2.9353,0.4803,2.4551,0.0396,0.3,,,,
53,13,2.9955,0.5156,2.4799,0.0236,0.3,,,,
54,26,2.9444,0.4838,2.4606,0.0225,0.3,,,,
55,16,2.9621,0.5132,2.4489,0.0204,0.3,,,,
56,36,2.8791,0.4829,2.3963,0.0335,0.3,,,,
57,22,2.8267,0.4461,2.3806,0.0277,0.3,,,,
58,36,2.841,0.4351,2.4059,0.0314,0.3,,,,
59,19,2.9285,0.4711,2.4573,0.0315,0.3,,,,
60,18,2.8742,0.4613,2.4129,0.0182,0.3,,,,
61,13,2.9451,0.5036,2.4415,0.0226,0.3,,,,
62,25,2.975,0.4899,2.4851,0.025,0.3,,,,
63,20,2.853,0.4531,2.3999,0.0333,0.3,,,,
64,19,2.9431,0.4711,2.472,0.0278,0.3,,,,
65,22,2.843,0.4284,2.4146,0.0313,0.3,,,,
66,18,2.9156,0.4418,2.4738,0.0302,0.3,,,,
67,18,2.9033,0.4715,2.4318,0.0224,0.3,,,,
68,25,2.9061,0.4921,2.414,0.0277,0.3,,,,
69,36,2.862,0.4801,2.3819,0.0279,0.3,,,,
70,12,2.9028,0.4926,2.4102,0.0279,0.3,,,,
71,18,2.8442,0.452,2.3922,0.0342,0.3,,,,
72,20,2.8346,0.4203,2.4144,0.0314,0.3,,,,
73,36,2.9004,0.4619,2.4385,0.0315,0.3,,,,
74,19,2.7993,0.4449,2.3545,0.0492,0.2,,,,
75,15,2.9138,0.507,2.4069,0.0233,0.2,,,,
76,18,2.9009,0.5003,2.4006,0.0242,0.2,,,,
77,23,2.9043,0.5292,2.375,0.026,0.2,,,,
78,11,2.8841,0.4781,2.406,0.0166,0.2,,,,
79,13,2.928,0.5341,2.3939,0.0161,0.2,,,,
80,17,2.9061,0.5008,2.4053,0.0189,0.2,,,,
81,15,2.9542,0.538,2.4162,0.0206,0.2,,,,
82,20,2.9677,0.5464,2.4213,0.0205,0.2,,,,
83,16,2.8427,0.483,2.3597,0.0311,0.2,,,,
84,24,2.9914,0.5736,2.4178,0.0337,0.2,,,,
85,21,2.8883,0.4848,2.4035,0.0285,0.2,,,,
86,26,2.9393,0.5021,2.4372,0.0165,0.2,,,,
87,20,2.9099,0.4927,2.4172,0.0237,0.2,,,,
88,36,2.9417,0.5304,2.4113,0.0118,0.2,,,,
89,12,2.9301,0.5654,2.3646,0.0211,0.2,,,,
90,13,2.8541,0.4978,2.3562,0.0163,0.2,,,,
91,36,2.9752,0.5503,2.4249,0.0209,0.2,,,,
92,27,2.8804,0.5084,2.372,0.0218,0.2,,,,
93,17,2.9308,0.5305,2.4003,0.0233,0.2,,,,
94,19,2.9251,0.523,2.4021,0.0169,0.2,,,,
95,18,2.9394,0.5132,2.4262,0.0183,0.2,,,,
96,15,2.946,0.5298,2.4163,0.0196,0.2,,,,
