batch_i,episode_len,loss,value_loss,policy_loss,kl_divergence,lr_multiplier,win_ratio,win_count,loss_count,tie_count
97,15,2.9839,0.5714,2.4125,0.0279,0.2,,,,
98,20,2.9415,0.5337,2.4078,0.0257,0.2,,,,
99,36,2.9347,0.5413,2.3934,0.0319,0.2,,,,
100,19,2.9083,0.5428,2.3655,0.0259,0.2,,,,
101,16,2.9918,0.5872,2.4046,0.0269,0.2,,,,
102,17,2.9854,0.5618,2.4237,0.0232,0.2,,,,
103,36,2.9042,0.5173,2.3869,0.0304,0.2,,,,
104,21,2.8703,0.5425,2.3278,0.0228,0.2,,,,
105,36,2.9259,0.5401,2.3858,0.019,0.2,,,,
106,16,2.8904,0.5727,2.3177,0.0438,0.13,,,,
107,36,2.844,0.5152,2.3288,0.0187,0.13,,,,
108,17,2.85,0.5193,2.3307,0.018,0.13,,,,
109,25,2.8533,0.5265,2.3268,0.0132,0.13,,,,
110,36,2.8673,0.539,2.3284,0.0183,0.13,,,,
111,15,2.829,0.543,2.286,0.0085,0.2,,,,
112,14,2.8079,0.518,2.2899,0.0163,0.2,,,,
113,23,2.8,0.532,2.268,0.0222,0.2,,,,
114,18,2.8457,0.5552,2.2904,0.0211,0.2,,,,
115,36,2.9219,0.5806,2.3413,0.0217,0.2,,,,
116,13,2.8536,0.5918,2.2618,0.0265,0.2,,,,
117,14,2.8674,0.5777,2.2897,0.0201,0.2,,,,
118,25,2.833,0.508,2.325,0.0341,0.2,,,,
119,23,2.8602,0.5746,2.2856,0.0229,0.2,,,,
120,16,2.811,0.5356,2.2754,0.0187,0.2,,,,
121,30,2.8803,0.544,2.3363,0.0191,0.2,,,,
122,9,2.9036,0.5441,2.3595,0.0194,0.2,,,,
123,19,2.868,0.5612,2.3068,0.0184,0.2,,,,
124,23,2.8319,0.5517,2.2802,0.0156,0.2,,,,
125,22,2.8294,0.529,2.3004,0.0209,0.2,,,,
126,25,2.7976,0.5484,2.2492,0.0275,0.2,,,,
127,17,2.9113,0.6221,2.2891,0.0181,0.2,,,,
128,31,2.9277,0.6154,2.3123,0.0204,0.2,,,,
129,21,2.8721,0.5611,2.3109,0.021,0.2,,,,
130,31,2.881,0.5934,2.2876,0.0279,0.2,,,,
131,36,2.8105,0.542,2.2686,0.0211,0.2,,,,
132,14,2.8555,0.5978,2.2577,0.0193,0.2,,,,
133,19,2.8384,0.5753,2.2631,0.0221,0.2,,,,
134,36,2.7856,0.5332,2.2525,0.0189,0.2,,,,
135,20,2.8379,0.5793,2.2586,0.0266,0.2,,,,
136,15,2.8029,0.5636,2.2394,0.0212,0.2,,,,
137,14,2.8879,0.5896,2.2983,0.0252,0.2,,,,
138,22,2.8562,0.5637,2.2925,0.0172,0.2,,,,
139,36,2.8468,0.5326,2.3142,0.017,0.2,,,,
140,18,2.7799,0.5189,2.2609,0.0189,0.2,,,,
141,16,2.7894,0.5291,2.2603,0.0177,0.2,,,,
142,14,2.7121,0.4867,2.2254,0.0244,0.2,,,,
143,16,2.7719,0.4936,2.2783,0.0227,0.2,,,,
144,17,2.779,0.5101,2.2689,0.0252,0.2,,,,
145,20,2.8246,0.5715,2.2531,0.0287,0.2,,,,
146,21,2.7772,0.5264,2.2508,0.0291,0.2,,,,
147,36,2.8195,0.5617,2.2577,0.0419,0.13,,,,
148,23,2.7984,0.5476,2.2509,0.0283,0.13,,,,
149,25,2.7881,0.5197,2.2684,0.0188,0.13,,,,
150,19,2.8392,0.5444,2.2949,0.0089,0.2,,,,
151,22,2.7605,0.5482,2.2123,0.0241,0.2,,,,
152,21,2.7403,0.5242,2.2161,0.0187,0.2,,,,
153,36,2.6971,0.5168,2.1802,0.0248,0.2,,,,
154,22,2.6647,0.4692,2.1955,0.0194,0.2,,,,
155,16,2.773,0.5473,2.2257,0.031,0.2,,,,
156,36,2.6747,0.4847,2.19,0.0221,0.2,,,,
157,17,2.6722,0.4687,2.2036,0.0192,0.2,,,,
158,15,2.7375,0.5128,2.2247,0.0226,0.2,,,,
159,15,2.6665,0.46,2.2065,0.0283,0.2,,,,
160,36,2.7323,0.5172,2.2151,0.0236,0.2,,,,
161,30,2.7251,0.5156,2.2095,0.0274,0.2,,,,
162,19,2.7954,0.521,2.2744,0.0231,0.2,,,,
163,13,2.7112,0.4942,2.2171,0.0208,0.2,,,,
164,16,2.8121,0.5383,2.2738,0.0309,0.2,,,,
165,12,2.702,0.4994,2.2025,0.0417,0.13,,,,
166,18,2.7367,0.51,2.2267,0.0197,0.13,,,,
167,23,2.7349,0.5053,2.2296,0.0257,0.13,,,,
168,17,2.7999,0.5128,2.2871,0.0082,0.2,,,,
169,22,2.7911,0.5189,2.2722,0.016,0.2,,,,
170,36,2.7715,0.4966,2.2749,0.0172,0.2,,,,
171,18,2.7027,0.4692,2.2335,0.0255,0.2,,,,
172,16,2.7889,0.5403,2.2486,0.0243,0.2,,,,
173,18,2.6698,0.4479,2.2219,0.032,0.2,,,,
174,25,2.7781,0.5092,2.2689,0.0218,0.2,,,,
175,20,2.6371,0.4437,2.1934,0.0235,0.2,,,,
176,36,2.6454,0.4347,2.2107,0.0228,0.2,,,,
177,11,2.7752,0.5209,2.2543,0.0204,0.2,,,,
178,9,2.7334,0.5125,2.2209,0.0225,0.2,,,,
179,18,2.671,0.4465,2.2245,0.0384,0.2,,,,
180,19,2.7071,0.4646,2.2425,0.0366,0.2,,,,
181,20,2.7163,0.4855,2.2307,0.0166,0.2,,,,
182,14,2.7419,0.4837,2.2582,0.0276,0.2,,,,
183,15,2.7837,0.5409,2.2428,0.0185,0.2,,,,
184,36,2.7138,0.5089,2.2049,0.0204,0.2,,,,
185,36,2.6596,0.4579,2.2017,0.02,0.2,,,,
186,15,2.6515,0.4436,2.2078,0.0332,0.2,,,,
187,15,2.7239,0.4809,2.243,0.0211,0.2,,,,
188,13,2.7599,0.5067,2.2532,0.0234,0.2,,,,
189,17,2.6554,0.4525,2.2029,0.0218,0.2,,,,
190,17,2.7375,0.5097,2.2279,0.0116,0.2,,,,
191,36,2.6755,0.4825,2.193,0.0113,0.2,,,,
192,36,2.6852,0.4683,2.217,0.0148,0.2,,,,
193,19,2.6946,0.4531,2.2414,0.0155,0.2,,,,
194,10,2.6492,0.4635,2.1856,0.0181,0.2,,,,
195,21,2.6709,0.4733,2.1976,0.0174,0.2,,,,
196,10,2.6413,0.4589,2.1824,0.0145,0.2,,,,
197,11,2.7068,0.4913,2.2155,0.0236,0.2,,,,
198,15,2.6529,0.4779,2.1749,0.017,0.2,,,,
199,34,2.6834,0.5467,2.1367,0.0219,0.2,,,,
200,22,2.7248,0.5626,2.1621,0.0168,0.2,,,,
201,13,2.7683,0.559,2.2093,0.0155,0.2,,,,
202,36,2.6679,0.5273,2.1407,0.0336,0.2,,,,
203,23,2.6827,0.5179,2.1648,0.0332,0.2,,,,
204,36,2.6421,0.4752,2.1669,0.0228,0.2,,,,
205,21,2.5974,0.4714,2.126,0.0179,0.2,,,,
206,14,2.6784,0.515,2.1634,0.019,0.2,,,,
207,9,2.6662,0.5386,2.1276,0.0287,0.2,,,,
208,12,2.695,0.499,2.196,0.0221,0.2,,,,
209,14,2.6831,0.527,2.1561,0.0266,0.2,,,,
210,16,2.7431,0.5611,2.182,0.0142,0.2,,,,
211,20,2.691,0.5436,2.1474,0.0228,0.2,,,,
212,12,2.6947,0.5326,2.1621,0.0168,0.2,,,,
213,15,2.6797,0.5339,2.1458,0.0223,0.2,,,,
214,11,2.6789,0.5477,2.1312,0.0171,0.2,,,,
215,36,2.7532,0.5658,2.1874,0.0141,0.2,,,,
216,10,2.6477,0.5233,2.1244,0.0168,0.2,,,,
217,21,2.612,0.5118,2.1001,0.0298,0.2,,,,
218,11,2.7238,0.5448,2.1789,0.0177,0.2,,,,
219,17,2.7047,0.5326,2.1721,0.0246,0.2,,,,
220,17,2.6775,0.522,2.1555,0.0225,0.2,,,,
221,12,2.7303,0.5744,2.1559,0.0171,0.2,,,,
222,15,2.6794,0.541,2.1384,0.0201,0.2,,,,
223,36,2.6252,0.5235,2.1018,0.0145,0.2,,,,
224,36,2.6735,0.517,2.1565,0.0326,0.2,,,,
225,23,2.617,0.5073,2.1097,0.0271,0.2,,,,
226,36,2.6074,0.5486,2.0588,0.0326,0.2,,,,
227,19,2.6329,0.5125,2.1204,0.0264,0.2,,,,
228,15,2.6571,0.5391,2.1179,0.0212,0.2,,,,
229,21,2.5932,0.4813,2.112,0.0299,0.2,,,,
230,13,2.6263,0.4847,2.1416,0.0173,0.2,,,,
231,16,2.5978,0.4698,2.128,0.0298,0.2,,,,
232,15,2.6049,0.478,2.1269,0.0349,0.2,,,,
233,30,2.7117,0.5637,2.148,0.0469,0.13,,,,
234,11,2.6594,0.5253,2.1341,0.0206,0.13,,,,
235,20,2.6644,0.5222,2.1421,0.0135,0.13,,,,
236,23,2.6416,0.5246,2.117,0.0212,0.13,,,,
237,13,2.7172,0.5551,2.1621,0.0165,0.13,,,,
238,36,2.644,0.5497,2.0943,0.02,0.13,,,,
239,24,2.6379,0.5337,2.1042,0.0249,0.13,,,,
240,23,2.6586,0.5642,2.0944,0.0122,0.13,,,,
241,22,2.6512,0.5082,2.143,0.0142,0.13,,,,
242,17,2.6726,0.5363,2.1363,0.0126,0.13,,,,
243,15,2.643,0.5181,2.1249,0.0134,0.13,,,,
244,36,2.5443,0.4777,2.0666,0.0167,0.13,,,,
245,14,2.6385,0.5137,2.1249,0.0165,0.13,,,,
246,22,2.6913,0.545,2.1463,0.0184,0.13,,,,
247,22,2.659,0.5171,2.1418,0.012,0.13,,,,
248,15,2.6785,0.5302,2.1483,0.0129,0.13,,,,
249,15,2.645,0.5172,2.1277,0.0164,0.13,,,,
250,19,2.6754,0.5457,2.1296,0.0133,0.13,,,,
251,21,2.5958,0.493,2.1027,0.0178,0.13,,,,
252,20,2.656,0.5328,2.1233,0.0108,0.13,,,,
253,36,2.6525,0.5393,2.1132,0.0142,0.13,,,,
254,11,2.6606,0.5533,2.1073,0.0169,0.13,,,,
255,19,2.7169,0.5718,2.1452,0.0165,0.13,,,,
256,19,2.6555,0.5221,2.1334,0.016,0.13,,,,
257,19,2.6424,0.5176,2.1247,0.0207,0.13,,,,
258,14,2.6532,0.5369,2.1164,0.0183,0.13,,,,
259,15,2.6692,0.5428,2.1264,0.0198,0.13,,,,
260,13,2.6865,0.5308,2.1557,0.0174,0.13,,,,
261,17,2.6602,0.4879,2.1723,0.0265,0.13,,,,
262,10,2.7023,0.5276,2.1747,0.0102,0.13,,,,
263,22,2.6796,0.5247,2.1549,0.0162,0.13,,,,
264,20,2.7515,0.5691,2.1823,0.0141,0.13,,,,
265,18,2.7354,0.5844,2.1511,0.0102,0.13,,,,
266,16,2.7639,0.5842,2.1797,0.0146,0.13,,,,
267,36,2.6939,0.5425,2.1515,0.0134,0.13,,,,
268,12,2.6871,0.5722,2.1149,0.0157,0.13,,,,
269,14,2.7736,0.5745,2.1991,0.0137,0.13,,,,
270,19,2.711,0.5736,2.1374,0.0252,0.13,,,,
271,29,2.768,0.577,2.191,0.0106,0.13,,,,
272,16,2.7233,0.5366,2.1868,0.0176,0.13,,,,
273,13,2.7282,0.5713,2.1569,0.0128,0.13,,,,
274,16,2.8013,0.5975,2.2038,0.0091,0.2,,,,
275,12,2.7115,0.5583,2.1533,0.0171,0.2,,,,
276,14,2.7571,0.6061,2.151,0.0253,0.2,,,,
277,29,2.6704,0.5284,2.142,0.0273,0.2,,,,
278,18,2.7249,0.5552,2.1697,0.0261,0.2,,,,
279,22,2.6914,0.5151,2.1763,0.028,0.2,,,,
280,11,2.7639,0.5659,2.198,0.0167,0.2,,,,
281,33,2.7647,0.5802,2.1846,0.0316,0.2,,,,
282,17,2.6873,0.5363,2.151,0.0249,0.2,,,,
283,13,2.7843,0.6238,2.1605,0.0284,0.2,,,,
284,28,2.7332,0.6096,2.1236,0.0264,0.2,,,,
285,18,2.7306,0.6004,2.1302,0.0265,0.2,,,,
286,14,2.711,0.591,2.1199,0.0228,0.2,,,,
287,15,2.7988,0.6153,2.1835,0.0208,0.2,,,,
288,14,2.7384,0.56,2.1783,0.0258,0.2,,,,
289,11,2.7874,0.6269,2.1605,0.0306,0.2,,,,
290,18,2.7233,0.5761,2.1472,0.025,0.2,,,,
291,36,2.7559,0.5555,2.2004,0.0225,0.2,,,,
292,11,2.7466,0.6041,2.1425,0.0416,0.13,,,,
293,17,2.7672,0.6415,2.1257,0.0109,0.13,,,,
294,15,2.7764,0.6067,2.1697,0.019,0.13,,,,
295,25,2.7403,0.5972,2.1431,0.0156,0.13,,,,
296,32,2.7121,0.594,2.1181,0.0191,0.13,,,,
297,27,2.711,0.5795,2.1316,0.0219,0.13,,,,
298,36,2.7675,0.6206,2.147,0.015,0.13,,,,
299,22,2.7233,0.5798,2.1435,0.0214,0.13,,,,
300,36,2.7367,0.5559,2.1808,0.0098,0.2,,,,
301,12,2.6909,0.5293,2.1616,0.0264,0.2,,,,
302,19,2.6868,0.5423,2.1445,0.0387,0.2,,,,
303,31,2.7947,0.6323,2.1625,0.0238,0.2,,,,
304,17,2.7044,0.5909,2.1135,0.0418,0.13,,,,
305,17,2.7296,0.6136,2.116,0.0221,0.13,,,,
306,25,2.7867,0.6547,2.132,0.0191,0.13,,,,
307,36,2.8027,0.6383,2.1644,0.027,0.13,,,,
308,12,2.7237,0.6071,2.1166,0.019,0.13,,,,
309,9,2.6164,0.534,2.0824,0.02,0.13,,,,
310,17,2.6745,0.5505,2.1241,0.0177,0.13,,,,
311,22,2.7568,0.6236,2.1331,0.0212,0.13,,,,
312,17,2.706,0.5778,2.1283,0.033,0.13,,,,
313,25,2.7203,0.5862,2.1341,0.0174,0.13,,,,
314,9,2.7249,0.6137,2.1112,0.029,0.13,,,,
315,36,2.722,0.5904,2.1316,0.0172,0.13,,,,
316,11,2.7387,0.6085,2.1302,0.0152,0.13,,,,
317,17,2.7231,0.6023,2.1208,0.018,0.13,,,,
318,36,2.7048,0.5924,2.1124,0.0181,0.13,,,,
319,17,2.7488,0.5933,2.1555,0.0132,0.13,,,,
320,18,2.6531,0.5244,2.1287,0.02,0.13,,,,
321,12,2.7905,0.658,2.1325,0.0146,0.13,,,,
322,19,2.6861,0.5896,2.0966,0.0124,0.13,,,,
323,11,2.7065,0.5843,2.1222,0.0161,0.13,,,,
324,24,2.7208,0.6012,2.1196,0.0136,0.13,,,,
325,20,2.702,0.5915,2.1106,0.0187,0.13,,,,
326,10,2.7305,0.6011,2.1294,0.008,0.2,,,,
327,28,2.7127,0.587,2.1257,0.0263,0.2,,,,
328,20,2.6836,0.5728,2.1108,0.0304,0.2,,,,
329,28,2.705,0.6252,2.0798,0.0249,0.2,,,,
330,19,2.6797,0.5745,2.1051,0.0254,0.2,,,,
331,19,2.7452,0.625,2.1202,0.0294,0.2,,,,
332,14,2.7225,0.6145,2.1081,0.0356,0.2,,,,
333,29,2.6419,0.5568,2.0851,0.0289,0.2,,,,
334,16,2.7307,0.6376,2.0931,0.0291,0.2,,,,
335,22,2.6615,0.5638,2.0977,0.0381,0.2,,,,
336,20,2.6206,0.5504,2.0701,0.0333,0.2,,,,
337,36,2.627,0.5375,2.0895,0.025,0.2,,,,
338,19,2.6657,0.5568,2.1089,0.0409,0.13,,,,
339,10,2.6294,0.5444,2.085,0.0168,0.13,,,,
340,14,2.6112,0.5392,2.072,0.0236,0.13,,,,
341,14,2.6353,0.5553,2.08,0.0098,0.2,,,,
342,11,2.6133,0.5225,2.0909,0.0252,0.2,,,,
343,15,2.5717,0.5083,2.0634,0.0251,0.2,,,,
344,36,2.5814,0.5179,2.0635,0.0292,0.2,,,,
345,12,2.5842,0.5038,2.0805,0.041,0.13,,,,
346,29,2.5632,0.5105,2.0527,0.0395,0.13,,,,
347,15,2.5943,0.5054,2.0888,0.0373,0.13,,,,
348,18,2.5572,0.5055,2.0517,0.0294,0.13,,,,
349,14,2.5871,0.5109,2.0762,0.0152,0.13,,,,
350,16,2.5691,0.4964,2.0726,0.0192,0.13,,,,
351,30,2.5379,0.4767,2.0612,0.0258,0.13,,,,
352,25,2.5793,0.4842,2.0951,0.0261,0.13,,,,
353,11,2.6205,0.5445,2.076,0.0311,0.13,,,,
354,16,2.6499,0.5509,2.099,0.0246,0.13,,,,
355,34,2.6014,0.5061,2.0954,0.0317,0.13,,,,
356,36,2.6294,0.5527,2.0767,0.0236,0.13,,,,
357,36,2.5318,0.4932,2.0386,0.0214,0.13,,,,
358,16,2.5922,0.4909,2.1013,0.0319,0.13,,,,
359,28,2.5281,0.4652,2.0629,0.0172,0.13,,,,
360,13,2.6126,0.5263,2.0863,0.0126,0.13,,,,
361,36,2.5424,0.5084,2.034,0.0239,0.13,,,,
362,18,2.5711,0.5043,2.0668,0.0125,0.13,,,,
363,31,2.5857,0.5005,2.0853,0.0181,0.13,,,,
364,24,2.6008,0.5474,2.0535,0.0169,0.13,,,,
365,10,2.5461,0.5176,2.0285,0.0436,0.09,,,,
366,36,2.5701,0.5261,2.044,0.0179,0.09,,,,
367,13,2.6488,0.5632,2.0856,0.0106,0.09,,,,
368,36,2.6104,0.5582,2.0522,0.0156,0.09,,,,
369,17,2.5561,0.4908,2.0653,0.0136,0.09,,,,
370,26,2.5301,0.514,2.0161,0.009,0.13,,,,
371,20,2.5506,0.502,2.0486,0.0304,0.13,,,,
372,12,2.6114,0.5258,2.0855,0.0326,0.13,,,,
373,25,2.506,0.4851,2.0208,0.0243,0.13,,,,
374,14,2.5051,0.5141,1.9909,0.035,0.13,,,,
375,18,2.5684,0.4707,2.0977,0.0133,0.13,,,,
376,36,2.5073,0.4628,2.0445,0.0252,0.13,,,,
377,17,2.5268,0.5399,1.9869,0.0297,0.13,,,,
378,9,2.4797,0.4981,1.9815,0.0207,0.13,,,,
379,36,2.4997,0.4749,2.0248,0.0305,0.13,,,,
380,36,2.4912,0.4595,2.0317,0.0237,0.13,,,,
381,18,2.4607,0.4588,2.0019,0.0217,0.13,,,,
382,33,2.5057,0.4734,2.0323,0.0177,0.13,,,,
383,28,2.4608,0.4599,2.0008,0.0279,0.13,,,,
384,36,2.4419,0.4614,1.9806,0.0146,0.13,,,,
385,21,2.5137,0.4996,2.0141,0.0278,0.13,,,,
386,36,2.4509,0.467,1.9839,0.0184,0.13,,,,
387,26,2.4964,0.4863,2.0101,0.0184,0.13,,,,
388,32,2.416,0.4125,2.0035,0.0124,0.13,,,,
389,13,2.4558,0.4544,2.0014,0.0166,0.13,,,,
390,20,2.404,0.4099,1.9941,0.0161,0.13,,,,
391,19,2.4602,0.438,2.0222,0.0146,0.13,,,,
392,12,2.3996,0.4107,1.9889,0.0177,0.13,,,,
393,15,2.4875,0.468,2.0195,0.0163,0.13,,,,
394,26,2.4986,0.4889,2.0097,0.0165,0.13,,,,
395,27,2.4457,0.4329,2.0128,0.0306,0.13,,,,
396,18,2.56,0.5216,2.0384,0.0172,0.13,,,,
397,20,2.4679,0.4529,2.015,0.023,0.13,,,,
398,15,2.4499,0.4656,1.9843,0.0344,0.13,,,,
399,11,2.4526,0.4897,1.9629,0.0364,0.13,,,,
400,13,2.477,0.472,2.0051,0.0272,0.13,,,,
401,15,2.4841,0.4927,1.9914,0.03,0.13,,,,
402,24,2.4648,0.4457,2.0191,0.0216,0.13,,,,
403,36,2.418,0.4301,1.9879,0.0261,0.13,,,,
404,36,2.469,0.486,1.9829,0.0497,0.09,,,,
405,25,2.4842,0.5289,1.9553,0.0329,0.09,,,,
406,14,2.3975,0.4313,1.9662,0.0101,0.09,,,,
407,17,2.4492,0.474,1.9752,0.0165,0.09,,,,
408,17,2.4661,0.4825,1.9836,0.0154,0.09,,,,
409,19,2.464,0.4496,2.0144,0.0081,0.13,,,,
410,36,2.4843,0.5126,1.9717,0.0165,0.13,,,,
411,26,2.4456,0.489,1.9566,0.0182,0.13,,,,
412,36,2.5182,0.498,2.0203,0.0264,0.13,,,,
413,36,2.4156,0.4376,1.978,0.0229,0.13,,,,
414,18,2.4765,0.4799,1.9966,0.0256,0.13,,,,
415,22,2.464,0.4833,1.9807,0.0217,0.13,,,,
416,21,2.4679,0.4809,1.987,0.0224,0.13,,,,
417,22,2.3842,0.448,1.9361,0.016,0.13,,,,
418,36,2.4049,0.4245,1.9803,0.0212,0.13,,,,
419,29,2.4352,0.4475,1.9877,0.0206,0.13,,,,
420,13,2.4107,0.4772,1.9336,0.0185,0.13,,,,
421,36,2.4378,0.5041,1.9338,0.0164,0.13,,,,
422,13,2.4054,0.4583,1.947,0.0279,0.13,,,,
423,15,2.4569,0.4391,2.0178,0.019,0.13,,,,
424,25,2.415,0.4428,1.9721,0.03,0.13,,,,
425,36,2.3915,0.4441,1.9473,0.024,0.13,,,,
426,36,2.4027,0.411,1.9917,0.0321,0.13,,,,
427,24,2.4058,0.4358,1.97,0.0237,0.13,,,,
428,36,2.3922,0.4238,1.9684,0.0229,0.13,,,,
429,16,2.3815,0.4177,1.9638,0.019,0.13,,,,
430,20,2.3579,0.4232,1.9348,0.0182,0.13,,,,
431,9,2.3597,0.4041,1.9556,0.0116,0.13,,,,
432,30,2.3714,0.3976,1.9738,0.0197,0.13,,,,
433,20,2.3771,0.4288,1.9482,0.0147,0.13,,,,
434,18,2.3768,0.4269,1.9499,0.0197,0.13,,,,
435,13,2.4627,0.487,1.9757,0.0193,0.13,,,,
436,12,2.3831,0.4413,1.9418,0.0281,0.13,,,,
437,16,2.405,0.442,1.963,0.0408,0.09,,,,
438,16,2.3745,0.4524,1.9221,0.0123,0.09,,,,
439,10,2.4261,0.4949,1.9312,0.0116,0.09,,,,
440,12,2.4596,0.5126,1.947,0.0112,0.09,,,,
441,18,2.4549,0.5006,1.9543,0.0083,0.13,,,,
